"player.givenName","player.surname","opponent","confidence_flag","line_10","line_11","line_12","line_13","line_14","line_15","line_16","line_17","line_18","line_19","line_20","line_21","line_22","line_23","line_24","line_25","line_26","line_27","line_28","line_29","line_30","predicted_disposals"
"Max","Heath","Hawthorn","ok",1.31307402925834,1.74720469507099,2.74412771451532,5.24675165981112,12.4921731969856,37.6345556867097,145.072186074296,721.167651760585,4649.12937521982,39025.9940227037,427847.654663059,6139921.04175697,115539985.38712,2854891726.17741,92726634593.1486,3962368319404.87,222919824886110,16521138118569016,1613764490630433024,2.07839042871585e+20,3.53062641035693e+22,10.8
"Kysaiah","Pickett","Hawthorn","ok",1.00703757267463,1.01181823853531,1.01925926694023,1.03049992554214,1.04701888787031,1.07070164769979,1.10393374766415,1.14974100661665,1.21200677359054,1.29580813842289,1.40793167571585,1.55766079296047,1.75798075510887,2.02743988837975,2.3930640163161,2.89499579742755,3.59401341103967,4.58394669086825,6.01258272269093,8.11757657357507,11.2894211631365,22.4
"Latrelle","Pickett","Hawthorn","ok",1.60933785749709,1.89131836271998,2.30149018811142,2.90810767317653,3.82511259062204,5.24855953324046,7.52654485682598,11.29773571117,17.7748847707064,29.3450387424445,50.8855736020613,92.7565464443754,177.864915760505,358.999787840314,763.101056949303,1709.02695159678,4034.25998060859,10040.9359107311,26357.7615955964,72992.7574974485,213298.284721331,10.8
"Jacob","van Rooyen","Hawthorn","ok",1.47689960602363,1.68953909594511,1.99179047754509,2.42636435711597,3.06163131809086,4.01007626220078,5.46200978306246,7.74889678595341,11.4658212332919,17.7155308775051,28.6101457872298,48.3363752051765,85.4938391064365,158.407742585578,307.634697924816,626.492995090687,1338.43361216349,3000.76537909752,7062.48098742194,17453.8598170235,45304.2925022944,11.5
"Bayley","Fritsch","Hawthorn","ok",1.30890499290258,1.46476106000622,1.69069656962807,2.02032611375795,2.50776196688519,3.24293307793301,4.38010030918981,6.19261893393205,9.18158850345031,14.2988349168342,23.4209181288969,40.3942654228111,73.4286214223128,140.79772913019,284.979115495646,609.223116224035,1376.28389200117,3287.00059118485,8302.66945592895,22187.3989617362,62746.8432305573,12.4
"Max","Gawn","Hawthorn","ok",1.00879236960511,1.01626006235936,1.02878535410379,1.04892825526171,1.08014500109109,1.12704881828107,1.19584093118689,1.29504649730377,1.43676223054584,1.63875358640244,1.92799161796151,2.34670706888425,2.96298686570426,3.88981252511802,5.3202397599125,7.59433702846021,11.3304855352744,17.6911769417709,28.9389814985457,49.6395891974042,89.3580389680322,19.7
"Jack","Steele","Hawthorn","ok",1.00557851159983,1.00956500618503,1.0158927933585,1.0256243467069,1.04015741063992,1.0612910762092,1.09131340661809,1.13313078680042,1.19046843929372,1.26818336802606,1.37274877665067,1.51299877810329,1.70127358264694,1.95519402709598,2.30044741679006,2.77523312800443,3.43748683470143,4.3768473004298,5.73487676636436,7.73993421697428,10.7686022299329,22.6
"Kade","Chandler","Hawthorn","ok",1.12678013005656,1.18418454002049,1.26294511057268,1.37012255375679,1.51545134899212,1.71269309554931,1.98176784793586,2.3521580991122,2.86844229138848,3.59946847342184,4.65388115753566,6.20697173582152,8.54815097920503,12.1668232188378,17.9114355593444,27.2913166858213,43.0640581735249,70.4084908621326,119.330142384947,209.73057514619,382.393527334135,15.6
"Daniel","Turner","Hawthorn","ok",1.27697081684498,1.41179412692057,1.60428325266799,1.88011225638821,2.27939442039807,2.86669326074451,3.74899338881242,5.1088812348152,7.26763968734115,10.8089496514251,16.8292320213558,27.4612340449165,47.0071260149006,84.4788449673898,159.505201160828,316.594727746803,660.933704580592,1451.88002470319,3357.29789549714,8174.88153335167,20966.8557245743,12.8
"Bailey","Laurie","Hawthorn","ok",1.20740774765665,1.3116851451997,1.46056451460665,1.67285627306423,1.97724996671119,2.41886328322208,3.07074783653693,4.05464665409727,5.57951734876617,8.0151655147776,12.0373598184275,18.9230441971558,31.1710018328353,53.8520598938937,97.65191233543,185.983036336861,372.243490085761,783.348940366141,1733.97324362953,4038.76868905952,9901.82057065981,13.6
