"player.givenName","player.surname","opponent","predicted_disposals","line","model_odds","pb_odds","ev_pb"
"Hamish","Davis","GWS GIANTS",15.2,15,1.79635952237872,1.83,0.0187270294182176
"Heath","Chapman","Essendon",17.5,14,1.24667343461109,1.27,0.0187110471285452
"Zac","Williams","Western Bulldogs",17,13,1.22711416210786,1.25,0.0186501293839079
"Jai","Newcombe","Narrm",26.1,21,1.10948378359367,1.13,0.0184916775798909
"Izak","Rankine","North Melbourne",23.4,18,1.06055716278012,1.08,0.0183326631531213
"Willem","Duursma","GWS GIANTS",19.7,14,1.05097424357551,1.07,0.018102971162989
"Jai","Newcombe","Narrm",26.1,19,1.04168921024134,1.06,0.017577977748682
"Jai","Newcombe","Narrm",26.1,22,1.16949064781533,1.19,0.0175369954629266
"Rowan","Marshall","Richmond",17.8,14,1.16955229128125,1.19,0.0174833642507318
"Lachie","Ash","Waalitj Marawar",28.2,20,1.02227932662306,1.04,0.017334472991326
"Will","Hayward","Western Bulldogs",15.8,14,1.37623770182082,1.4,0.0172661293523189
"Harry","Sharp","Hawthorn",14.4,13,1.53352507382765,1.56,0.0172640973559469
"Harvey","Langford","Hawthorn",15.9,12,1.22916491125693,1.25,0.0169506048799976
"Koltyn","Tholstrup","Hawthorn",18.8,14,1.17065458147591,1.19,0.0165253003150576
"Marcus","Windhager","Richmond",22.6,24,2.36163718591127,2.4,0.01624416075322
"Christian","Petracca","Yartapuulti",25.7,18,1.05297477382976,1.07,0.0161686932995681
"Marcus","Windhager","Richmond",22.6,17,1.11218583442854,1.13,0.0160172563073664
"Bradley","Hill","Richmond",24.3,25,2.06712867930364,2.1,0.0159019228098708
"Dan","Houston","Sydney Swans",23.6,22,1.45742604941356,1.48,0.0154889166387035
"Harry","Morrison","Narrm",18,15,1.27112475608382,1.29,0.0148492457768919
"Harry","Morrison","Narrm",18,16,1.39955322131407,1.42,0.0146095042150146
"Dan","Houston","Sydney Swans",23.6,17,1.05470110113727,1.07,0.014505435564861
"James","Peatling","North Melbourne",21.5,23,2.36658868831198,2.4,0.0141179208085571
"Hamish","Davis","GWS GIANTS",15.2,14,1.56794768387778,1.59,0.0140644463772431
"Isaac","Heeney","Collingwood",27.4,19,1.04547448405365,1.06,0.0138937067981116
"Bradley","Hill","Richmond",24.3,17,1.05546682156569,1.07,0.0137694318166725
"Dan","Houston","Sydney Swans",23.6,21,1.3120104546647,1.33,0.0137114344411971
"Caleb","Daniel","Kuwarna",24.4,17,1.05558926022833,1.07,0.0136518438701716
"Steele","Sidebottom","Sydney Swans",15.1,12,1.04573965547329,1.06,0.0136366106535944
"Caleb","Daniel","Kuwarna",24.4,18,1.08534815241046,1.1,0.0134996752489091
"Tim","Kelly","GWS GIANTS",23.9,22,1.46060853590027,1.48,0.0132762910958752
"Josh","Battle","Narrm",21.5,17,1.12514901853427,1.14,0.0131991240458743
"Andrew","Brayshaw","Essendon",22.9,22,1.34236349905289,1.36,0.0131383943019591
"Peter","Wright","Walyalup",15.1,16,2.17359569562199,2.2,0.0121477533430872
"Zac","Williams","Western Bulldogs",17,21,4.1502627263588,4.2,0.0119841265289826
"Josh","Battle","Narrm",21.5,16,1.07721752176863,1.09,0.0118661996978847
"Peter","Wright","Walyalup",15.1,15,1.80889247786464,1.83,0.0116687544415448
"Max","Gawn","Hawthorn",19.7,17,1.29504649730377,1.31,0.0115466917422373
"Jarman","Impey","Narrm",24,19,1.13702819711199,1.15,0.0114085146885178
"Jarman","Impey","Narrm",24,17,1.05805646518992,1.07,0.0112881828172878
"Jai","Newcombe","Narrm",26.1,23,1.25612202672216,1.27,0.0110482683868366
"Blake","Howes","Hawthorn",16.1,15,1.61302581603141,1.63,0.0105231942352598
"James","Peatling","North Melbourne",21.5,16,1.12839489003622,1.14,0.0102846176159209
"Riley","Bice","Collingwood",19.3,14,1.03998632213331,1.05,0.00962866304447815
"Will","Hayward","Western Bulldogs",15.8,13,1.23829948714006,1.25,0.00944885545173169
